Age,Department,Experience,Gender,ID,Name,Salary
"29.0","HR","3.0","F","1","alice","55000.0"
"34.0","Engineering","5.0","M","2","bob","72000.0"
"28.0","Marketing","2.0","M","3","charlie","66750.0"
"45.0","Engineering","15.0","M","4","david","91000.0"
"38.0","HR","10.0","F","5","eve","68000.0"
"34.666666666666664","Marketing","4.0","M","6","frank","60000.0"
"32.0","Finance","7.0","F","7","grace","71000.0"
"41.0","HR","12.0","F","8","hannah","66750.0"
"30.0","Engineering","3.0","M","9","ian","50000.0"
"35.0","Finance","6.777777777777778","F","10","jane","67000.0"
